year,week,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Hrastnik,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Maribor,Metlika,Mozirje,Murska Sobota,Nova Gorica,Novo mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur pri Celju,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2010,45,2,8,16,2,2,2,1,1,4,1,4,4,14,7,4,1,3,13,6,1,2,4,0,64,5,4,36,1,3,11,12,17,2,3,1,1,24,1,4,1,0,0,4,4,4,9,6,3,0,6,1,4,2,1,6,0,1,2
2010,46,4,11,27,1,1,6,1,2,3,0,1,0,14,9,1,3,9,17,1,3,4,4,1,68,2,4,32,2,2,19,10,16,0,1,4,1,13,3,3,1,2,0,1,2,2,7,5,2,3,2,5,6,0,1,9,1,1,4
2010,47,6,9,21,2,1,3,1,4,3,0,0,1,13,16,1,1,8,10,3,1,5,3,1,68,3,3,40,0,4,15,19,14,2,3,4,4,16,1,12,2,3,4,2,9,5,3,8,5,5,4,3,1,3,1,6,1,4,2
2010,48,1,5,22,0,0,4,0,5,4,2,3,2,9,11,5,1,6,9,3,2,2,11,3,68,1,3,49,0,3,25,18,19,3,1,0,2,14,2,4,1,4,0,1,1,5,1,12,4,0,1,4,8,2,1,11,5,6,3
2010,49,5,6,17,2,0,6,5,3,2,1,1,2,10,15,0,2,1,12,2,2,2,1,1,79,1,0,33,3,1,24,12,14,0,3,1,1,17,1,3,3,0,0,0,2,5,3,5,6,3,6,3,4,5,1,10,2,3,1
2010,50,0,11,28,1,3,7,2,1,2,0,4,2,15,17,1,1,6,12,0,4,3,5,4,87,1,2,37,0,5,25,19,21,0,3,0,2,14,3,4,1,1,1,1,2,9,2,10,4,1,8,4,7,2,3,15,1,0,5
2010,51,6,13,22,3,4,4,0,6,4,0,2,1,16,13,6,4,2,15,4,3,2,2,1,84,2,6,60,2,5,16,20,11,2,4,4,6,15,5,8,4,1,3,1,7,5,3,10,4,2,5,1,6,2,1,10,0,1,4
2010,52,1,6,19,2,2,3,0,2,2,1,2,1,8,6,0,1,2,15,1,1,2,5,1,47,0,3,26,0,1,8,17,12,0,3,0,0,17,0,0,2,1,2,1,0,2,3,6,0,2,4,4,6,2,1,10,2,4,5
2010,53,0,3,6,2,0,0,0,1,1,0,1,2,7,3,3,1,2,4,0,2,1,0,1,31,1,0,18,1,2,9,9,6,1,0,0,2,10,0,2,0,4,0,0,3,2,1,4,1,1,1,0,1,2,0,6,0,3,1
2011,1,4,11,26,2,3,6,1,2,6,0,4,3,10,9,3,0,9,18,4,2,5,1,3,86,1,1,35,0,2,15,22,14,3,3,2,1,13,1,1,3,2,1,3,5,2,6,13,4,3,7,3,11,2,2,11,1,3,4
